building_age,office_ratio,floor_efficiency,value_per_sqft,land_value_ratio,lotarea,bldgarea,officearea,numfloors,assessland,assesstot,yearbuilt,transaction_count,deed_count,mortgage_count,mta_accessibility_proxy,business_density_proxy,construction_activity_proxy,commercial_ratio,distress_score,target_high_vacancy_risk,BBL
12.0,0.3825136612021858,915.0,105.24590163934428,0.2359813084112149,1770.0,1830.0,700.0,2.0,45450.0,192600.0,2013.0,0.0,,,,,0.2827732493126437,1.0,0.0,0,40413200280
96.0,1.0,840.0,67.5,0.4603174603174603,971.0,840.0,840.0,1.0,26100.0,56700.0,1929.0,0.0,,,,,0.4602401174856358,1.0,0.0,0,40408801090
100.0,0.7666666666666667,6000.0,61.775,0.1833265884257385,10670.0,18000.0,13800.0,3.0,203850.0,1111950.0,1925.0,0.0,,,,,0.9020224301435396,1.0,0.0,1,40409200400
95.0,1.0,500.0,98.1,0.4128440366972477,2002.0,1000.0,1000.0,2.0,40500.0,98100.0,1930.0,0.0,,,,,0.3188406973478833,1.0,0.0,1,40408400160
76.0,0.6849798387096774,1984.0,76.6633064516129,0.7130177514792899,6000.0,1984.0,1359.0,1.0,108450.0,152100.0,1949.0,0.0,,,,,0.1748402496660207,1.0,0.0,0,40409500180
105.0,1.0,706.6666666666666,83.20754716981132,0.3061224489795918,2992.0,1060.0,1060.0,1.5,27000.0,88200.0,1920.0,0.0,,,,,0.3799175599952544,1.0,0.0,1,41150400380
105.0,1.0,1200.0,62.8125,0.3373134328358209,1940.0,2400.0,2400.0,2.0,50850.0,150750.0,1920.0,0.0,,,,,0.0486821777537624,1.0,0.0,1,41148100370
115.0,1.0,672.8,84.5422116527943,0.3860759493670886,2433.0,1682.0,1682.0,2.5,54900.0,142200.0,1910.0,0.0,,,,,0.4525276986088905,1.0,0.0,1,40409400510
105.0,0.7599022858139941,2865.5,34.07782236956901,0.3387096774193548,3576.0,5731.0,4355.0,2.0,66150.0,195300.0,1920.0,0.0,,,,,0.8416473154360203,0.8106787646135055,0.0,1,41148000610
98.0,0.5831692913385826,2032.0,81.71751968503936,0.2127371273712737,2600.0,4064.0,2370.0,2.0,70650.0,332100.0,1927.0,0.0,,,,,0.7112720069233621,1.0,0.0,0,40411500010
39.0,0.7618737800910865,3842.5,77.58620689655173,0.1766037735849056,5200.0,7685.0,5855.0,2.0,105300.0,596250.0,1986.0,0.0,,,,,0.1864092127356829,1.0,0.0,0,40413300970
115.0,1.0,1104.0,62.16032608695652,0.5081967213114754,2575.0,2208.0,2208.0,2.0,69750.0,137250.0,1910.0,0.0,,,,,0.649179508765903,1.0,0.0,1,40409400590
103.0,0.2687687687687687,1665.0,92.29729729729728,0.5929721815519766,9000.0,3330.0,895.0,2.0,182250.0,307350.0,1922.0,0.0,,,,,0.7633592983373922,0.7312312312312312,0.0,1,40499600230
75.0,1.0,4419.5,116.73831881434552,0.311818578281727,8866.0,8839.0,8839.0,2.0,321750.0,1031850.0,1950.0,0.0,,,,,0.9615724776650704,1.0,0.0,0,40501700220
105.0,0.3473318598042311,1266.8,83.54910009472687,0.5510204081632653,3300.0,3167.0,1100.0,2.5,145800.0,264600.0,1920.0,0.0,,,,,0.3105833938824376,0.6315124723713293,0.0,1,40503200070
15.0,0.75,1566.6666666666667,94.40425531914892,0.1338742393509127,1175.0,4700.0,3525.0,3.0,59400.0,443700.0,2010.0,0.0,,,,,0.1162300869575241,1.0,0.0,0,40501800170
95.0,1.0,776.8,104.27394438722966,0.5511111111111111,6195.0,1942.0,1942.0,2.5,111600.0,202500.0,1930.0,0.0,,,,,0.727689295374058,1.0,0.0,0,40478900900
100.0,1.0,1893.0,67.63074484944532,0.5043936731107206,6832.0,3786.0,3786.0,2.0,129150.0,256050.0,1925.0,0.0,,,,,0.0248303358905533,1.0,0.0,1,40500800060
15.0,0.6666666666666666,1436.0,92.02646239554318,0.2724177071509648,1436.0,4308.0,2872.0,3.0,108000.0,396450.0,2010.0,0.0,,,,,0.3672998539751673,1.0,0.0,0,40501800120
20.0,1.0,3194.333333333333,102.36877804445372,0.2321100917431192,6324.0,9583.0,9583.0,3.0,227700.0,981000.0,2005.0,0.0,,,,,0.2777996271353449,1.0,0.0,0,40500800230
21.0,0.6306306306306306,333.0,79.05405405405405,0.6410256410256411,1875.0,666.0,420.0,2.0,33750.0,52650.0,2004.0,0.0,,,,,0.1443428096725092,0.6306306306306306,0.0,1,40503200140
105.0,0.6308926780341023,997.0,116.22367101303912,0.2912621359223301,2500.0,1994.0,1258.0,2.0,67500.0,231750.0,1920.0,0.0,,,,,0.4622403506517326,0.6308926780341023,0.0,1,40503200150
12.0,0.2903225806451613,1457.0,102.69389155799588,0.2541353383458646,2376.0,5828.0,1692.0,4.0,152100.0,598500.0,2013.0,0.0,,,,,0.3001446773969974,0.5806451612903226,0.0,1,40500200850
85.0,0.5466970387243736,878.0,91.998861047836,0.4066852367688022,4873.0,1756.0,960.0,2.0,65700.0,161550.0,1940.0,0.0,,,,,0.7440744563445796,0.5466970387243736,0.0,1,40477600040
96.0,0.4990867182743324,5748.5,57.3019048447421,0.2042349726775956,25131.0,11497.0,5738.0,2.0,134550.0,658800.0,1929.0,0.0,,,,,0.3494403195363306,1.0,0.0,0,41616602990
96.0,1.0,4647.333333333333,85.40381580834888,0.1836734693877551,9000.0,6971.0,6971.0,1.5,109350.0,595350.0,1929.0,0.0,,,,,0.665634506543041,1.0,0.0,1,41616603120
68.0,1.0,6335.0,53.16890292028413,0.1803607214428857,6671.0,12670.0,12670.0,2.0,121500.0,673650.0,1957.0,0.0,,,,,0.8492287322042341,1.0,0.0,0,41616603110
65.0,1.0,5980.0,65.91973244147157,0.3476027397260274,14500.0,11960.0,11960.0,2.0,274050.0,788400.0,1960.0,0.0,,,,,0.6054180833737337,1.0,0.0,0,40477600110
65.0,1.0,300.0,177.0,0.7203389830508474,2699.0,300.0,300.0,1.0,38250.0,53100.0,1960.0,0.0,,,,,0.114331039239054,1.0,0.0,0,40464500260
7.0,1.0,16830.0,75.87344028520499,0.3827087983084694,65150.0,50490.0,50490.0,3.0,1466100.0,3830850.0,2018.0,0.0,,,,,0.6716290070913086,1.0,0.0,0,41617800800
13.0,0.6354718981972428,1886.0,112.5,0.2189819724284199,2750.0,7544.0,4794.0,4.0,185850.0,848700.0,2012.0,0.0,,,,,0.7058748445858444,1.0,0.0,0,40500200820
19.0,1.0,1128.5,98.6929552503323,0.4828282828282828,2365.0,2257.0,2257.0,2.0,107550.0,222750.0,2006.0,0.0,,,,,0.2093681330597725,1.0,0.0,0,40464600080
65.0,1.0,3000.0,124.8,0.3665865384615384,12300.0,3000.0,3000.0,1.0,137250.0,374400.0,1960.0,0.0,,,,,0.4837401375137643,1.0,0.0,0,40413600380
34.0,0.5010316223841004,23749.0,75.08210872036717,0.6410094637223974,169345.0,47498.0,23798.0,2.0,2286000.0,3566250.0,1991.0,0.0,,,,,0.8811404967730759,1.0,0.0,0,40414500650
15.0,0.5892579944116734,3221.0,62.51940391182863,0.2424581005586592,4338.0,6442.0,3796.0,2.0,97650.0,402750.0,2010.0,0.0,,,,,0.9802023539164432,1.0,0.0,0,40401200310
37.0,0.619712387519973,23782.0,73.13304179631655,0.5369555843035791,166024.0,142692.0,88428.0,6.0,5603400.0,10435500.0,1988.0,0.0,,,,,0.9138286236422885,1.0,0.0,0,40414700010
39.0,1.0,6300.0,67.57142857142857,0.63107822410148,59695.0,18900.0,18900.0,3.0,805950.0,1277100.0,1986.0,0.0,,,,,0.971818580325152,1.0,0.0,0,40414800910
